dataset,RF-TLTD,,,,,RF,,,,,XGB,,,,,Tabnet,,,,,FCNN-TLTD,,,,,RF-TLTD-1-EPOCH,,,,
,Accuracy,Precision,Recall,AUC ROC,auc pr,Accuracy,Precision,Recall,AUC ROC,auc pr,Accuracy,Precision,Recall,AUC ROC,auc pr,Accuracy,Precision,Recall,AUC ROC,auc pr,Accuracy,Precision,Recall,AUC ROC,auc pr,Accuracy,Precision,Recall,AUC ROC,auc pr
elusage,0.88,0.9208334,0.88,0.8777778,0.9306944,0.8833334,0.9250001,0.8833334,0.8555556,0.9113888,0.89,0.9061111,0.89,0.8666667,0.9197917,0.7633334,0.8194444,0.7633334,0.7791666,0.8610069,0.8866666,0.9330556,0.8866666,0.8875,0.9367708,0.8733332,0.9152779,0.8733332,0.9666666,0.9694444
fri_c0_250_5,0.864,0.8773909,0.864,0.9568354,0.9585041,0.86,0.8695477,0.86,0.9311642,0.9259844,0.848,0.8651285,0.848,0.9337311,0.9322526,0.816,0.8188411,0.816,0.8848675,0.8895323,0.848,0.8519724,0.848,0.9199074,0.9111591,0.88,0.893141,0.88,0.9587355,0.9599328
hill-valley,0.6229371,0.6240194,0.6229371,0.6519843,0.6413551,0.5586167,0.568341,0.5586167,0.5766844,0.5595741,0.5379217,0.541269,0.5379217,0.5507509,0.5504026,0.4901166,0.4426902,0.4901166,0.4889707,0.5111554,0.5008875,0.4648484,0.5008875,0.5173526,0.5300805,0.6336402,0.6429309,0.6336402,0.687105,0.6741466
image-segmentation,0.9679654,0.968922,0.9679654,0.9984818,0.9927095,0.965368,0.9661961,0.965368,0.9986197,0.9930123,0.9770563,0.9775632,0.9770563,0.9990164,0.9950445,0.900433,0.9082405,0.900433,0.9911981,0.9612819,0.9502165,0.952234,0.9502165,0.9954708,0.979655,0.9679654,0.9688831,0.9679654,0.9987306,0.9937328
iris,0.96,0.9617858,0.96,0.9933322,0.9882785,0.9533333,0.9662592,0.9533333,0.9924065,0.9892886,0.9399999,0.957881,0.9399999,0.9886584,0.9702474,0.9599999,0.9692857,0.9599999,0.9985757,0.9969028,0.9466665,0.9576034,0.9466665,0.984551,0.9650718,0.9599999,0.9651668,0.9599999,0.9941351,0.9852097
libras,0.8777778,0.9140278,0.8777778,0.9223616,0.8645698,0.8111111,0.8457939,0.8111111,0.9320445,0.8506164,0.7277777,0.7869445,0.7277777,0.9194015,0.7934113,0.6222223,0.6891171,0.6222223,0.8922412,0.675954,0.85,0.8998412,0.85,0.8952199,0.8475365,0.8833334,0.9149537,0.8833334,0.9174386,0.8621481
molec-biol-promoter,0.8036365,0.8421862,0.8036365,0.9283334,0.9254314,0.9054546,0.9255303,0.9054546,0.946627,0.9143815,0.8972728,0.9021644,0.8972728,0.95,0.9524285,0.679091,0.7131256,0.679091,0.761018,0.7854793,0.7827274,0.8411198,0.7827274,0.9208334,0.9318796,0.8000001,0.8454676,0.8000001,0.9210715,0.9109184
monks-1,0.9838312,0.9842827,0.9838312,0.9997422,0.9997414,0.9441885,0.9472801,0.9441885,0.9893074,0.9896661,0.9928572,0.993229,0.9928572,1,1,0.9710715,0.9736248,0.9710715,0.9925992,0.9924331,0.9857144,0.986729,0.9857144,0.9993535,0.999351,0.9856494,0.9860261,0.9856494,0.9994808,0.9994846
no2,0.622,0.6284399,0.622,0.682401,0.6925828,0.628,0.6374952,0.628,0.6930616,0.6999893,0.614,0.6328284,0.614,0.6890722,0.6894621,0.522,0.5540113,0.522,0.5622424,0.5873752,0.614,0.6257154,0.614,0.6697036,0.6649213,0.642,0.6558457,0.642,0.7000323,0.6995214
plant-shape,0.751875,0.8002656,0.751875,0.8263005,0.7066251,0.629375,0.6819746,0.629375,0.8302489,0.6339081,0.55,0.6213451,0.55,0.7867746,0.5365313,0.42625,0.4719711,0.42625,0.8028926,0.4700437,0.67875,0.7376221,0.67875,0.7999346,0.6479525,0.746875,0.7965522,0.746875,0.8097547,0.6885539
